city,country,latitude,longitude,iso_code
Ansan,Korea Republic,37.316667,"126.833333 ",KR
Bab Ben Gashier:Tripoli,Libya,32.887222,"13.191389 ",LY
Ballybofe,Republic of Ireland,54.8,"-7.79 ",IE
Bucheon,Korea Republic,37.5,"126.783333 ",KR
Dungannon,Sweden,"54.5 ","-6.77 ",SE
Gimhae,Korea Republic,35.234167,"128.881111 ",KR
Gimpo,Korea Republic,37.7,"126.6 ",KR
Hai Ouled Smail:nd,Algeria,,,DZ
Laval in western France:Laval,France,48.0733,"-0.7689 ",FR
MariehamnAland:Mariehamn,Finland,60.1,"19.933333 ",FI
Mynai,Ukraine,48.591944,"22.277778 ",UA
Pagranichnaja:nd,Belarus,,,BY
Seongnam,Korea Republic,37.433333,"127.15 ",KR
Tizi-Ouzou,Congo DR,36.716667,"4.05 ",CD
Xi'an,China PR,34.265,"108.954 ",CN
no define:nd,Ukraine,,,UA
no determinate:nd,Ukraine,,,UA
no determine:nd,Kyrgyzstan,,,KG
the Betrideildin:nd,Faroe Islands,,,FO
the League of Ireland Premier Division:nd,Republic of Ireland,,,IE
the city Odense:Odense,Denmark,"55.395833 ","10.388611 ",DK
Ñemby in the Central Department:Ñemby,Paraguay,-25.3935,"-57.5443 ",PY
Cei Conna,Wales,53.218,-3.057,GB
Ydrenewydd:Newtown,Wales,52.5132,"-3.3141 ",GB
